language,participant_id,words,minutes,wpm,types,tokens,ttr,english_types,english_tokens,english_ttr,spanish_types,spanish_tokens,spanish_ttr,disfluencies,fluency_score
spa,613,233,2.264,102.912,90,226,0.398,0,0,0,90,226,0.398,7,33.286
spa,612,184,1.953,94.205,75,169,0.444,0,0,0,75,169,0.444,15,12.267
spa,619,306,3.187,96.022,101,273,0.37,0,0,0,101,273,0.37,33,9.273
spa,609,210,2.505,83.823,62,185,0.335,0,0,0,62,185,0.335,25,8.4
spa,602,184,2.258,81.475,74,180,0.411,0,0,0,74,180,0.411,4,46.0
spa,601,215,2.121,101.37,87,203,0.429,0,0,0,87,203,0.429,12,17.917
spa,610,358,4.528,79.067,126,341,0.37,0,0,0,126,341,0.37,17,21.059
eng,605,242,3.03,79.858,99,226,0.438,99,226,0.438,0,0,0.0,16,15.125
spa,611,256,2.107,121.52,96,241,0.398,1,1,1.0,95,240,0.394,15,17.067
spa,604,271,2.81,96.451,100,253,0.395,0,0,0,100,253,0.395,18,15.056
spa,505,206,2.277,90.48,88,206,0.427,0,0,0,88,206,0.427,0,0
spa,608,196,2.02,97.024,80,189,0.423,0,0,0,80,189,0.423,7,28.0
spa,618,223,2.317,96.257,94,221,0.425,0,0,0,94,221,0.425,2,111.5
spa,607,241,2.711,88.884,88,241,0.365,0,0,0,88,241,0.365,0,0
spa,622,275,3.034,90.638,93,259,0.359,0,0,0,93,259,0.359,16,17.188
spa,614,344,3.17,108.532,110,314,0.35,0,0,0,110,314,0.35,30,11.467
spa,615,219,3.464,63.228,77,205,0.376,0,0,0,77,205,0.376,14,15.643
spa,623,253,2.651,95.452,88,238,0.37,0,0,0,88,238,0.37,15,16.867
spa,617,313,2.977,105.151,117,294,0.398,0,0,0,117,294,0.398,19,16.474
spa,621,217,2.493,87.03,81,196,0.413,0,0,0,81,196,0.413,21,10.333
spa,620,244,2.92,83.554,65,207,0.314,0,0,0,65,207,0.314,37,6.595
spa,616,215,2.95,72.875,87,200,0.435,0,0,0,87,200,0.435,15,14.333
